node_id,name,display_name,country_name,facility_type,lat,lon,place
facility::20e2863d2aae,Flins Factory,Electric car plant,France,Electric car producer,48.9770711,1.8571189,Flins-sur-Seine_-_Yvelines_-_France
facility::20fdb1caebf7,Smelter,Smelter,Democratic Republic of the Congo,Smelter,-11.5855471,27.4786431,Annexe_-_Lubumbashi_-_DRC
facility::215290881013,Headquarter,Headquarter,China,Precursor producer,28.2215,112.9007,"Yuelu District, Changsha, Hunan, China"
facility::2217f4d073fa,Headquarter,Headquarter,China,,28.31949658,112.58602808,"Xinkang Road, Ningxiang Economic and Technological Development Zone, Changsha City, Hunan Province"
facility::2222c9653b27,Ruashi Mine,Smelter,Democratic Republic of the Congo,Smelter,-11.6112453,27.5539531,"Ruashi, Lubumbashi, Haut-Katanga, DRC"
facility::22b67949e5fa,Headquarter,Headquarter,China,,39.81900741,116.28581089,"Building 21, Area 18, No.188, Western Road, South 4th Ring Road, Fengtai District, Beijing"
facility::23ee18496ae1,Shanghai,Battery pack plant,China,Electric car producer,31.2785122,121.1896882,Jiading_-_Shanghai_-_China
facility::2456e7c8e152,Prime Planet Energy & Solutions Tokyo Office,Headquarter,Japan,Battery producer,35.68688683852207,139.77310841547785,"13F Nihonbashi Mitsui Tower, 2-1-1, Nihonbashi-Muromachi, Chuo-ku, Tokyo, 103-0022, Japan"
facility::24bcb8c19c7f,Headquarter,Headquarter,South Africa,,-30.553625374608952,22.921518116912743,South Africa
facility::25afa39f5854,Anting,Automobile Plant,China,Electric car producer,31.2945845,121.1806224,Anting_-_Shanghai_-_China
facility::264d9d33913d,Headquarter,Headquarter,China,Precursor producer,39.81900741,116.28581089,"Building 21, Area 18, No.188, Western Road, South 4th Ring Road, Fengtai District, Beijing"
facility::27322dca5418,Headquarter,Headquarter,Taiwan,Battery producer,24.96825383,121.2423954,"No.6-1, Ziqiang 7th Rd. Zhongli District, Taoyuan, Taiwan"
facility::27768204056b,Cheongju Plant,Cathode Plant,South Korea,Battery producer,36.706077,127.4100114,Ochang-eup_-_Cheongju_-_Chungcheongbuk-do_-_South Korea
facility::28fb47283e7c,Headquarter,Headquarter,China,Smelter,39.8858429014947,116.35221999640311,"56 Nanxianli Xicheng District Beijing, 100032 China"
facility::291fdd486543,Headquarter,Headquarter,USA,Battery producer,42.2753406,-71.57140623,"133 Flanders Road, Westborough, MA"
facility::29250f2fe26a,Tongxiang,Tongxiang Huayou Cobalt Facility,China,Refiner,30.613538,120.5672,"018 Wuzhen E Rd, Tongxiang, Jiaxing, Zhejiang, China, 314599"
facility::296b1b53d9d4,Mine,Mine,Democratic Republic of the Congo,,-10.72742607526749,25.45651555007419,"Kolwezi, Congo - Kinshasa"
facility::29954cbe1f04,India Plant,Battery cell plant,India,Battery producer,28.42943513,77.54947048,"Greater Noida, Uttar Pradesh, India"
facility::2a52035b2487,Ningde Headquarter,Battery cell plant,China,Battery producer,26.7332864,119.5645726,Ningde_-_Fujian China
facility::2c0c33362e20,Isoura,Precursor plant,Japan,Precursor producer,33.9489975,133.2377222,Isoura Plant_-_Ehime_-_Japan
facility::2c1a0406ef82,Tesla Freemont Factory,Automobile Plant,USA,Electric car producer,37.4934874,-121.9452636,Freemont_-_California_-_USA
facility::2d30680e735a,Hunan Facility,Facility,China,Cathode producer,28.2215,112.9007,"Yuelu District, Changsha, Hunan, China"
facility::2d3c62e3a2d1,Georgia Plant,Georgia Automobile Plant,United States,,32.16576592976759,-81.44710795119038,"1500 Genesis Dr, Ellabell, GA 31308, United States"
