company,stage,country,longitude,latitude,precision
Vale S.A.,source,Canada,-79.242142,42.883133,exact_company
Vale S.A.,Refining,Canada,-79.242142,42.883133,exact_stage
Artisanal producers,source,Democratic Republic of the Congo,27.349457,-11.597883,exact_company
Chemaf,Smelting,Democratic Republic of the Congo,27.586012,-11.634101,exact_stage
Shalina Resources,Trading,UAE,55.141221,25.068983,exact_stage
"Beijing Hainachuan Automotive Parts Co., Ltd. (BHAP)",source,China,116.46679,39.876548,exact_company
Farasis Energy,Battery pack manufacturing,China,114.847894,25.840251,exact_stage
Chengtun Global Resources,Smelting,Hong Kong,114.17765,22.27863,exact_stage
Chemaf,source,Democratic Republic of the Congo,27.586012,-11.634101,exact_company
Chengtun Copper Resources,source,Democratic Republic of the Congo,25.473307,-10.621931,exact_company
Victor International Trade Co .Ltd.,Trading,China,120.515646,31.862912,exact_stage
Hanrui Metal Congo,Artisanal processing,Democratic Republic of the Congo,25.46589,-10.646626,exact_stage
Hanrui International (Singapore) Pte.Ltd.,Smelting,Singapore,103.863448,1.322259,exact_stage
Hauchin Internationel Trading/Limited,Smelting,Hong Kong,114.211863,22.288107,exact_stage
Kawama shabara,source,Democratic Republic of the Congo,25.866319,-10.740854,exact_company
La Société de Luilu Ressources (LCS),Artisanal processing,Democratic Republic of the Congo,25.354869,-10.671023,exact_stage
Hongkong Excellen Mining Investment Co,Smelting,Hong Kong,114.151761,22.287108,exact_stage
Thomas Mining,Artisanal processing,Democratic Republic of the Congo,25.479508,-10.666476,exact_stage
Essence Resources Limited,Smelting,UK,-0.031636,51.724734,exact_stage
Access World,Trading,Switzerland,8.518586,47.18048,exact_stage
Grindrod Intermodal,Trading,South Africa,31.023401,-29.861293,exact_stage
Mechema,Trading,Taiwan,121.127092,25.053937,exact_stage
PGS Ltd.,Trading,South Africa,22.921518,-30.553625,exact_stage
Reload Logistics and Trading,Trading,Zambia,28.650444,-12.965693,exact_stage
Huachin Metal Leach SPRL,Artisanal processing,Democratic Republic of the Congo,26.708273,-11.000451,exact_stage
New Spread Trading Limited,Trading,Hong Kong,114.169105,22.278591,exact_stage
Shituru Mining Corporation (SMCO),Artisanal processing,Democratic Republic of the Congo,26.776138,-11.009042,exact_stage
HK Penghe,Trading,Hong Kong,114.155153,22.285541,exact_stage
Mining Promotion Company (MPC),source,Zimbabwe,31.085582,-17.832873,exact_company
Zijin International Trading/Co. Ltd.,Trading,China,118.137237,24.486778,exact_stage
Nichia Corporation,source,Japan,134.616209,33.928946,exact_company
Ningbo Coboto,source,China,121.079541,30.277674,exact_company
Raffemet PTE,Trading,Singapore,103.852445,1.284449,exact_stage
Rubamin SARL,source,Democratic Republic of the Congo,26.654827,-10.953066,exact_company
Chalco Trading,Trading,Hong Kong,114.164033,22.280034,exact_stage
Sungeel Hitech,source,South Korea,126.539242,35.957984,exact_company
Bridge Shipping,Trading,China,118.104761,24.523944,exact_stage
CMOC Limited,Trading,China,111.615029,33.882766,exact_stage
Smart Logistics,Trading,China,116.360201,39.911124,exact_stage
VS Cargo,Trading,Zambia,28.659743,-13.018721,exact_stage
Alliance Nickel Ltd. (GME Resources),source,Australia,115.809387,-31.977803,exact_company
Ascend Elements,source,USA,-71.571406,42.275341,exact_company
BS Battery,source,France,2.22351,48.861905,exact_company
CNMC Huachin Mabende Mining SPRL,source,Democratic Republic of the Congo,27.36535,-11.443357,exact_company
Carriere 52,source,Democratic Republic of the Congo,25.441553,-10.648348,exact_company
Luilu Ressources SAS (LR SAS),Artisanal processing,Democratic Republic of the Congo,25.354875,-10.668757,exact_stage
Cents Sacs,source,Democratic Republic of the Congo,25.531331,-10.685543,exact_company
Chengtun Global Resources,Artisanal processing,Hong Kong,114.17765,22.27863,exact_stage
Compagnie Minière de Kambove (COMIKA),source,Democratic Republic of the Congo,26.563776,-10.867661,exact_company
Grand Future,Trading,Hong Kong,114.163432,22.279415,exact_stage
Hebei Jiwu,Trading,China,114.484203,38.037811,exact_stage
Norin Mining Limited,Trading,China,116.374826,39.910681,exact_stage
Shandong Hi-Speed,Trading,Hong Kong,114.154697,22.284688,exact_stage
Sylverkey Development,Trading,China,116.360201,39.911124,exact_stage
Entreprise Generale du Cobalt (EGC),source,Democratic Republic of the Congo,25.485279,-10.723111,exact_company
Mercuria Energy Trading SA,Trading,Switzerland,6.14737,46.204013,exact_stage
Evoke Electric Motorcycles (HK) Ltd.,source,China,116.511093,39.785148,exact_company
Motorino / Greenwit Technologies Inc.,Electric car/scooter manufacturing,Canada,-122.985017,49.258561,exact_stage
"Fujian Scud Power Technology Co., Ltd. / 福建飞毛腿动力科技有限公司",source,China,119.426371,26.008366,exact_company
Bird Global Inc.,Electric car/scooter manufacturing,USA,-80.193167,25.95017,exact_stage
"Lime / Neutron Holdings, Inc.",Electric car/scooter manufacturing,USA,-122.399691,37.788342,exact_stage
Lyft Inc.,Electric car/scooter manufacturing,USA,-122.392072,37.776583,exact_stage
Glencore,source,Switzerland,8.527233,47.18132,exact_company
Li-Cycle Holdings Corp,Recycling,Canada,-79.380394,43.639787,exact_stage
HORWIN Global,source,China,120.011171,31.807034,exact_company
Hangzhou Tromox Technology Co Ltd,source,China,119.961939,30.272087,exact_company
Hanrui Metal Congo,source,Democratic Republic of the Congo,25.46589,-10.646626,exact_company
Huachin Metal Leach SPRL,source,Democratic Republic of the Congo,26.708273,-11.000451,exact_company
Kai Peng Mining SARL,source,Democratic Republic of the Congo,26.659436,-10.964301,exact_company
Maurituis Nankai,Trading,Vietnam,105.835712,21.024872,exact_stage
Kambove Mining SAS,source,Democratic Republic of the Congo,26.614862,-10.865596,exact_company
Kawama Shabara,source,Democratic Republic of the Congo,25.866319,-10.740854,exact_company
Golden Mining,Artisanal processing,Democratic Republic Of The Congo,27.473591,-11.703865,exact_stage
Kisanfu mine (KFM),source,Democratic Republic of the Congo,25.928137,-10.779617,exact_company
Kuniko Ltd.,source,Norway,10.046645,60.070332,exact_company
"Gold Mountains (H.K.) International Mining Co., Ltd.",Trading,Hong Kong,114.160021,22.303646,exact_stage
Golden Harbour,Trading,China,116.360201,39.911124,exact_stage
Octagon Commodites SA,Trading,Switzerland,6.14622,46.204001,exact_stage
La Minière de Kalukundi S.A. (LAMIKAL),source,Democratic Republic of the Congo,25.986683,-10.639793,exact_company
La Société de Luilu Ressources (LCS),source,Democratic Republic of the Congo,25.354869,-10.671023,exact_company
Divine Land Mining SARL (DLM),Artisanal processing,Democratic Republic of the Congo,26.74992,-11.004705,exact_stage
OM metal,Artisanal processing,Democratic Republic of the Congo,27.48627,-11.644299,exact_stage
Mining Progress Company,source,Democratic Republic of the Congo,27.486856,-11.666409,exact_company
Ningbo Yinnyi Mining Co. Ltd.,Trading,China,121.549718,29.881958,exact_stage
Congo Jinjun Cheng (CJC),Artisanal processing,Democratic Republic Of The Congo,26.756724,-10.99736,exact_stage
"Phylion Battery Co., Ltd. / Phylion Power / Xingheng Power / Phylion Power Co., Ltd.",source,China,120.417302,31.365959,exact_company
SHIDO Battery,source,Japan,139.754706,35.683326,exact_company
KTM AG,Electric car/scooter manufacturing,Austria,13.158905,48.097536,exact_stage
Shituru Mining Corporation (SMCO),source,Democratic Republic of the Congo,26.776138,-11.009042,exact_company
Thomas Mining,source,Democratic Republic of the Congo,25.479508,-10.666476,exact_company
Tinbot Technology GmbH / KOLLTER,source,Germany,8.571431,50.135657,exact_company
"Zhejiang Narada / Nandu Power Source Co., Ltd.",source,China,120.061416,30.2806,exact_company
"Jiangsu Xinri Electric Vehicle Co., Ltd.",Electric car/scooter manufacturing,China,120.490763,31.579153,exact_stage
Zhuhai Guanyu,source,China,113.231619,22.153184,exact_company
Xiaomi,Electric car/scooter manufacturing,China,116.32086,40.048976,exact_stage
